cell,arm,build,initiator,run,ms,flush_ms,exit,drain,cold,valid
sm_grpc_mixed,srcinit,f35702a,skippy,4,2060,820,0,drained_3x2s,cold,yes
sm_grpc_mixed,destinit,f35702a,magneto,4,2320,790,0,drained_3x2s,cold,yes
ms_grpc_mixed,srcinit,f35702a,magneto,1,4060,1170,0,drained_5x2s,cold,yes
ms_grpc_mixed,destinit,f35702a,skippy,1,2929,530,0,drained_5x2s,cold,yes
ms_grpc_mixed,srcinit,f35702a,magneto,2,4219,1289,0,drained_6x2s,cold,yes
ms_grpc_mixed,destinit,f35702a,skippy,2,2789,450,0,drained_6x2s,cold,yes
ms_grpc_mixed,srcinit,f35702a,magneto,3,4480,1530,0,drained_8x2s,cold,yes
ms_grpc_mixed,destinit,f35702a,skippy,3,3019,649,0,drained_5x2s,cold,yes
ms_grpc_mixed,srcinit,f35702a,magneto,4,3581,541,0,drained_5x2s,cold,yes
ms_grpc_mixed,destinit,f35702a,skippy,4,3819,1470,0,drained_6x2s,cold,yes
sm_tcp_small,srcinit,f35702a,skippy,1,840,100,0,drained_3x2s,cold,yes
sm_tcp_small,destinit,f35702a,magneto,1,860,90,0,drained_3x2s,cold,yes
sm_tcp_small,srcinit,f35702a,skippy,2,830,100,0,drained_3x2s,cold,yes
sm_tcp_small,destinit,f35702a,magneto,2,870,110,0,drained_3x2s,cold,yes
sm_tcp_small,srcinit,f35702a,skippy,3,810,100,0,drained_3x2s,cold,yes
sm_tcp_small,destinit,f35702a,magneto,3,870,110,0,drained_3x2s,cold,yes
sm_tcp_small,srcinit,f35702a,skippy,4,780,90,0,drained_3x2s,cold,yes
sm_tcp_small,destinit,f35702a,magneto,4,870,90,0,drained_3x2s,cold,yes
ms_tcp_small,srcinit,f35702a,magneto,1,2110,300,0,drained_5x2s,cold,yes
ms_tcp_small,destinit,f35702a,skippy,1,2140,250,0,drained_6x2s,cold,yes
ms_tcp_small,srcinit,f35702a,magneto,2,2080,230,0,drained_4x2s,cold,yes
ms_tcp_small,destinit,f35702a,skippy,2,2089,240,0,drained_6x2s,cold,yes
ms_tcp_small,srcinit,f35702a,magneto,3,2161,211,0,drained_6x2s,cold,yes
ms_tcp_small,destinit,f35702a,skippy,3,2611,601,0,drained_6x2s,cold,yes
ms_tcp_small,srcinit,f35702a,magneto,4,2180,180,0,drained_4x2s,cold,yes
ms_tcp_small,destinit,f35702a,skippy,4,2000,190,0,drained_6x2s,cold,yes
sm_tcp_large,srcinit,f35702a,skippy,1,2610,1320,0,drained_3x2s,cold,yes
sm_tcp_large,destinit,f35702a,magneto,1,2580,1300,0,drained_3x2s,cold,yes
sm_tcp_large,srcinit,f35702a,skippy,2,2470,1290,0,drained_3x2s,cold,yes
sm_tcp_large,destinit,f35702a,magneto,2,2460,1310,0,drained_3x2s,cold,yes
sm_tcp_large,srcinit,f35702a,skippy,3,2610,1280,0,drained_3x2s,cold,yes
sm_tcp_large,destinit,f35702a,magneto,3,2480,1280,0,drained_3x2s,cold,yes
sm_tcp_large,srcinit,f35702a,skippy,4,2580,1270,0,drained_3x2s,cold,yes
sm_tcp_large,destinit,f35702a,magneto,4,2610,1280,0,drained_3x2s,cold,yes
ms_tcp_large,srcinit,f35702a,magneto,1,4609,3179,0,drained_4x2s,cold,yes
ms_tcp_large,destinit,f35702a,skippy,1,5019,3620,0,drained_4x2s,cold,yes
ms_tcp_large,srcinit,f35702a,magneto,2,4560,3160,0,drained_4x2s,cold,yes
ms_tcp_large,destinit,f35702a,skippy,2,4819,3399,0,drained_4x2s,cold,yes
ms_tcp_large,srcinit,f35702a,magneto,3,4830,3430,0,drained_4x2s,cold,yes
ms_tcp_large,destinit,f35702a,skippy,3,5160,3760,0,drained_4x2s,cold,yes
ms_tcp_large,srcinit,f35702a,magneto,4,4270,2880,0,drained_4x2s,cold,yes
ms_tcp_large,destinit,f35702a,skippy,4,5039,3630,0,drained_4x2s,cold,yes
